row_id,topic_cluster
2059,-1
2062,-1
2065,3
2069,-1
2071,3
2073,-1
2074,3
2076,-1
2077,-1
2079,-1
2081,-1
2083,-1
2084,3
2085,-1
2086,-1
2087,3
2088,-1
2091,3
2092,-1
2094,3
2095,-1
2100,3
2101,3
2104,-1
2105,3
2106,-1
2108,-1
2110,-1
2111,-1
2114,-1
2115,3
2116,3
2118,3
2119,-1
2121,-1
2122,-1
2123,-1
2125,-1
2126,-1
2129,-1
2131,-1
2132,-1
2134,3
2136,-1
2137,-1
2138,3
2139,-1
2140,3
2142,3
2143,3
2144,-1
2146,-1
2147,-1
2148,-1
2154,-1
2155,3
2156,-1
2158,-1
2159,-1
2160,-1
2161,-1
2162,-1
2164,-1
2165,3
2166,-1
2168,-1
2169,3
2171,-1
2173,3
2174,-1
2175,-1
2176,-1
2177,3
2179,3
2180,-1
2181,-1
2182,-1
2183,3
2184,-1
2185,3
2186,-1
2187,-1
2188,-1
2189,3
2190,3
2191,3
2192,3
2193,3
2195,3
2198,-1
2199,-1
2200,3
2205,-1
2207,3
2208,3
2210,-1
2212,3
2213,3
2214,-1
2216,-1
2218,-1
2221,-1
2223,3
2225,-1
2226,-1
2227,-1
2228,-1
2229,-1
2231,-1
2232,-1
2236,3
2239,-1
2241,-1
2242,-1
2244,-1
2245,3
2246,3
2247,-1
2249,-1
2250,-1
2251,-1
2254,-1
2256,-1
2258,-1
2260,-1
2262,3
2263,3
2264,-1
2265,-1
2267,-1
2268,-1
2270,-1
2271,-1
2272,-1
2273,-1
2274,3
2276,3
2277,3
2278,-1
2279,-1
2282,-1
2284,-1
2285,3
2287,-1
2289,-1
2290,-1
2291,3
2293,3
2295,-1
2296,-1
2299,-1
2301,-1
2302,3
2304,-1
2305,-1
2306,3
2307,-1
2309,3
2310,-1
2311,-1
2313,-1
2314,3
2316,-1
2317,-1
2319,-1
2320,3
2323,-1
2324,-1
2325,-1
2326,-1
2327,-1
2328,-1
2329,3
2331,-1
2334,3
2336,3
2338,-1
2341,-1
2345,-1
2346,-1
2348,-1
2349,-1
2350,1
2351,-1
2352,-1
2354,-1
2355,-1
2356,-1
2358,-1
2362,3
2363,2
2364,-1
2365,3
2367,3
2368,-1
2369,-1
2372,-1
2373,-1
2374,-1
2376,3
2377,-1
2378,3
2379,-1
2380,0
2381,-1
2382,-1
2384,3
2385,-1
2386,-1
2387,3
2388,3
2389,-1
2390,3
2391,-1
2395,-1
2396,-1
2397,-1
2401,-1
2405,-1
2406,-1
2407,-1
2408,-1
2409,-1
2410,3
2411,-1
2413,1
2414,-1
2416,-1
2417,-1
2420,3
2421,-1
2422,-1
2423,-1
2424,-1
2425,3
2426,3
2428,3
2431,3
2434,-1
2435,-1
2436,3
2437,-1
2438,3
2439,3
2442,3
2443,3
2444,-1
2445,-1
2449,-1
2451,-1
2452,-1
2453,3
2454,3
2457,-1
2458,-1
2459,-1
2461,-1
2462,-1
2466,-1
2469,-1
2470,-1
2471,-1
2472,-1
2473,-1
2474,-1
2475,-1
2476,3
2477,3
2478,-1
2481,-1
2483,-1
2485,-1
2486,-1
2487,-1
2489,-1
2490,-1
2491,-1
2492,-1
2494,-1
2495,3
2496,-1
2497,3
2498,-1
2499,3
2501,-1
2503,-1
2506,-1
2508,-1
2512,-1
2513,3
2516,-1
2517,3
2519,-1
2520,-1
2521,-1
2522,3
2524,-1
2525,3
2526,-1
2528,-1
2529,3
2531,-1
2532,-1
2533,-1
2534,3
2535,-1
2537,-1
2538,-1
2539,3
2540,-1
2543,3
2544,3
2545,-1
2547,-1
2548,3
2553,-1
2555,-1
2556,3
2557,3
2558,-1
2560,3
2561,-1
2562,-1
2564,-1
2565,-1
2568,-1
2569,3
2570,-1
2571,-1
2572,-1
2573,3
2574,-1
2575,3
2576,-1
2577,3
2578,-1
2580,-1
2582,-1
2584,-1
2586,-1
2587,-1
2588,3
2589,3
2590,-1
2591,-1
2592,-1
2593,-1
2595,3
2598,-1
2601,-1
2602,-1
2603,3
2605,3
2606,-1
2608,-1
2611,3
2614,3
2617,-1
2618,3
2619,-1
2623,3
2624,-1
2626,-1
2627,-1
2628,-1
2632,3
2633,-1
2634,-1
2636,3
2637,-1
2639,-1
2640,3
2641,3
2643,-1
2645,-1
2647,-1
2648,-1
2649,-1
2650,-1
2652,-1
2653,-1
2655,-1
2658,3
2659,-1
2660,-1
2661,3
2664,-1
2667,-1
2668,3
2669,-1
2670,-1
2671,-1
2672,3
2674,3
2675,-1
2677,-1
2680,-1
2681,-1
2682,-1
2683,-1
2686,3
2688,-1
2689,-1
2690,-1
2696,-1
2697,3
2700,-1
2701,-1
2702,-1
2703,-1
2704,-1
2705,-1
2706,-1
2707,-1
2708,-1
2709,-1
2710,-1
2711,-1
2713,-1
2715,-1
2717,-1
2718,-1
2719,3
2720,3
2721,-1
2722,-1
2725,3
2729,-1
2730,-1
2733,-1
2734,-1
2735,3
2736,-1
2738,-1
2739,-1
2740,-1
